id,start_date,name,distance,moving_time,elapsed_time,total_elevation_gain,type,start_date_local,average_speed,max_speed,average_cadence,average_heartrate,max_heartrate,suffer_score
10233726275,2023-11-17T12:03:27Z,Afternoon Run,8062.9,2193,2415,13.2,Run,2023-11-17T13:03:27Z,3.677,5.565,79.7,167.5,183.0,55.0
10215804001,2023-11-14T09:48:40Z,Morning Run,8070.4,2267,2267,6.7,Run,2023-11-14T10:48:40Z,3.56,5.646,80.8,160.2,185.0,37.0
10204193514,2023-11-12T09:48:27Z,Morning Run,5036.4,1424,1427,8.8,Run,2023-11-12T10:48:27Z,3.537,5.836,80.4,147.9,164.0,10.0
10188865661,2023-11-09T14:32:46Z,Afternoon Run,10311.8,2810,2822,30.6,Run,2023-11-09T15:32:46Z,3.67,5.853,80.3,166.3,187.0,63.0
10175554096,2023-11-07T10:16:01Z,Lunch Run,8868.5,2473,2639,13.9,Run,2023-11-07T11:16:01Z,3.586,8.406,80.5,153.4,180.0,25.0
10166764201,2023-11-05T17:55:32Z,Evening Run,6446.7,1781,1793,6.2,Run,2023-11-05T18:55:32Z,3.62,6.164,79.9,159.2,180.0,31.0
10148293227,2023-11-02T14:40:59Z,Wind.,8060.3,2100,2290,9.3,Run,2023-11-02T15:40:59Z,3.838,5.578,81.6,172.0,194.0,61.0
10143437911,2023-11-01T16:47:16Z,😐,4857.2,1344,1344,0.0,Run,2023-11-01T17:47:16Z,3.614,3.933,77.2,167.8,185.0,34.0
10129037814,2023-10-30T07:20:30Z,Carrera,6458.4,1819,2244,58.7,Run,2023-10-30T08:20:30Z,3.55,7.592,79.3,159.0,181.0,31.0
10082496347,2023-10-22T07:40:38Z,Istanbul Half!!!,20094.0,5764,6366,274.0,Run,2023-10-22T10:40:38Z,3.486,5.756,80.5,180.5,196.0,236.0
10077807708,2023-10-21T12:43:22Z,Almost time....,3565.2,1159,1282,63.8,Run,2023-10-21T15:43:22Z,3.076,4.467,77.7,139.2,169.0,5.0
10065695661,2023-10-19T08:14:37Z,Morning Run,4838.2,1282,1282,9.2,Run,2023-10-19T10:14:37Z,3.774,8.106,80.1,144.0,155.0,5.0
10053188913,2023-10-17T06:58:37Z,Morning Run,4837.8,1267,1282,9.9,Run,2023-10-17T08:58:37Z,3.818,13.2,81.5,149.1,166.0,10.0
10043763573,2023-10-15T13:23:04Z,Afternoon Run,11287.8,3166,3202,13.7,Run,2023-10-15T15:23:04Z,3.565,6.82,80.7,151.0,172.0,26.0
10035817663,2023-10-14T10:00:08Z,Lunch Run,5654.3,1503,2235,4.5,Run,2023-10-14T12:00:08Z,3.762,6.47,82.5,155.6,195.0,19.0
10031651887,2023-10-13T15:21:37Z,Afternoon Run,6438.1,1649,1719,10.5,Run,2023-10-13T17:21:37Z,3.904,6.72,81.0,153.3,166.0,16.0
10025828957,2023-10-12T15:16:42Z,"Bit quick, gotta settle down",4837.2,1188,1192,6.9,Run,2023-10-12T17:16:42Z,4.072,6.17,82.0,171.3,190.0,32.0
10019157956,2023-10-11T13:36:57Z,Afternoon Run,6449.7,1755,1929,10.2,Run,2023-10-11T15:36:57Z,3.675,6.444,81.8,151.6,176.0,16.0
10007424222,2023-10-09T15:30:32Z,A big 'dam loop,21165.3,5999,6069,28.7,Run,2023-10-09T17:30:32Z,3.528,5.56,81.3,163.4,184.0,123.0
10001180120,2023-10-08T14:21:27Z,4 x 800,8064.2,2105,2784,4.6,Run,2023-10-08T16:21:27Z,3.831,6.37,82.9,154.9,186.0,28.0
